Country name,Period,Avg_Pillar_1_Score,Avg_Pillar_2_Score,Avg_Pillar_3_Score,Avg_Total_Index_Average,Avg_Overall_Rank,Avg_Overall_Rank_Rolling_Avg_(3y),Avg_Total_Index_Normalized,Avg_Pillar_1_Normalized,Avg_Pillar_1_Rank,Avg_Pillar_2_Normalized,Avg_Pillar_2_Rank,Avg_Pillar_3_Normalized,Avg_Pillar_3_Rank,Total_Yes_Votes,Total_No_Votes,Total_Abstain_Votes,Total_Total_Votes_in_Year
BGD,2020-2024,96.0356,98.5891,95.1180,96.5809,37.8000,34.2667,0.6924,0.6669,42.4000,0.7162,34.8000,0.6518,61.2000,390,5,39,434
BGD,2025-2029,87.5070,99.8570,94.4209,93.9283,70.0000,55.6667,0.5975,0.5140,82.0000,0.7186,13.0000,0.5386,4.0000,8,0,1,9
BGR,1955-1959,77.7857,99.9506,59.3989,79.2654,61.2500,58.1667,0.2201,0.3059,50.0000,0.7753,6.0000,0.0389,41.0000,36,35,12,83
BGR,1960-1964,66.0987,99.6097,73.2324,79.6469,87.2500,79.5833,0.2698,0.2045,71.7500,0.7499,9.2500,0.1888,57.0000,52,32,12,96
BGR,1965-1969,77.9911,99.6423,87.3427,91.6782,48.6000,52.2000,0.5671,0.3368,90.0000,0.7633,6.0000,0.4280,62.0000,124,22,19,165
BGR,1970-1974,78.5338,99.6686,83.0073,87.0699,102.4000,98.4000,0.3447,0.3023,105.4000,0.7419,13.6000,0.1959,93.8000,226,30,74,330
BGR,1975-1979,86.8965,99.9312,83.4696,90.0991,108.2000,104.6667,0.3037,0.2982,102.0000,0.8227,5.4000,0.1508,106.4000,346,70,87,503
BGR,1980-1984,90.2814,99.8535,88.3256,92.8202,108.8000,111.5334,0.3783,0.3114,111.4000,0.8069,4.8000,0.2729,114.0000,549,99,56,704
BGR,1985-1989,93.1806,99.7240,95.8779,96.2608,77.8000,88.8000,0.5538,0.3499,111.2000,0.7816,6.8000,0.5651,57.4000,663,34,26,723
BGR,1990-1994,84.5644,98.0639,73.2919,85.3067,155.2000,132.6667,0.1545,0.1258,140.6000,0.5690,58.4000,0.0729,126.2000,200,31,127,358
BGR,1995-1999,88.6626,97.2235,80.3509,88.7457,150.8000,153.7334,0.2843,0.2919,141.0000,0.5674,71.0000,0.1806,140.6000,228,40,89,357
BGR,2000-2004,88.9885,98.6706,84.7317,90.7969,141.0000,140.7333,0.3494,0.2757,148.6000,0.6104,56.6000,0.2994,115.8000,363,54,75,492
BGR,2005-2009,87.5969,99.1199,81.5197,89.4122,161.4000,158.8667,0.2648,0.2072,166.6000,0.6710,42.4000,0.1855,136.2000,262,61,76,399
BGR,2010-2014,90.3377,98.8758,79.4873,89.5670,155.4000,156.8667,0.2792,0.3152,156.6000,0.6765,38.4000,0.1639,144.2000,216,58,68,342
BGR,2015-2019,88.2544,98.2454,76.9666,87.8221,159.8000,158.0667,0.2515,0.2415,174.0000,0.6404,61.6000,0.1434,154.2000,276,79,104,459
BGR,2020-2024,90.2197,98.3192,78.3619,88.9669,152.8000,154.6000,0.3009,0.2923,163.4000,0.6870,40.4000,0.1779,154.2000,267,100,71,438
BGR,2025-2029,84.4444,99.6362,99.5132,94.5313,60.0000,120.0000,0.6281,0.4172,124.0000,0.7045,22.0000,0.7291,1.0000,10,0,0,10
BHR,1970-1974,89.4371,98.6302,96.7182,97.0681,14.0000,8.4583,0.7857,0.5951,44.0000,0.6539,27.2500,0.6544,30.7500,254,1,15,270
BHR,1975-1979,94.6467,99.3321,97.9262,97.3017,20.0000,22.6000,0.7414,0.7060,29.6000,0.7499,14.4000,0.7336,19.0000,481,1,17,499
BHR,1980-1984,96.9022,99.5424,97.7313,98.0587,14.2000,14.7333,0.7881,0.7195,22.6000,0.7745,12.0000,0.6961,29.6000,676,3,25,704
BHR,1985-1989,97.7325,99.2095,97.0868,98.0096,33.8000,21.8667,0.7147,0.7036,27.8000,0.7192,26.2000,0.6037,56.4000,660,6,32,698
BHR,1990-1994,96.8553,99.3346,98.1391,98.1097,28.4000,38.4000,0.7353,0.6660,51.0000,0.7078,19.0000,0.7323,15.0000,350,0,5,355
BHR,1995-1999,95.7957,98.2303,96.5213,96.8491,32.8000,33.6667,0.6943,0.6805,33.4000,0.6287,53.2000,0.6916,33.4000,458,3,23,484
BHR,2000-2004,95.2964,98.7925,95.7347,96.6079,65.0000,55.7333,0.6327,0.5848,56.8000,0.6373,51.8000,0.6245,57.0000,328,9,23,360
BHR,2005-2009,95.4209,98.7942,95.7038,96.6396,64.4000,63.1333,0.6401,0.5925,76.4000,0.6386,57.4000,0.6211,63.6000,363,7,28,398
BHR,2010-2014,94.8549,98.6545,96.1746,96.5613,60.2000,62.2000,0.6542,0.5505,83.4000,0.6536,50.6000,0.6515,54.8000,327,4,28,359
BHR,2015-2019,95.2361,99.0889,96.5930,96.9727,49.6000,53.8000,0.6877,0.5864,73.4000,0.7281,27.8000,0.6829,54.4000,423,3,33,459
BHR,2020-2024,96.3454,98.5631,94.1703,96.3596,46.4000,40.3333,0.6768,0.6923,35.4000,0.7103,35.6000,0.6144,72.0000,389,6,42,437
BHR,2025-2029,89.8713,99.7358,83.1952,90.9341,106.0000,81.0000,0.4642,0.5924,51.0000,0.7108,19.0000,0.2594,19.0000,7,0,3,10
BHS,1970-1974,,92.3929,90.5787,91.4858,71.5000,66.7500,0.5027,,,0.3323,98.5000,0.4113,70.0000,61,0,14,75
BHS,1975-1979,84.6120,89.8362,87.8502,86.0358,106.8000,105.1333,0.2948,0.2037,115.2500,0.3707,90.4000,0.3784,83.2000,385,3,62,450
BHS,1980-1984,92.9138,93.1402,91.3597,92.4712,105.2000,96.6000,0.3748,0.4359,91.0000,0.3254,114.4000,0.3864,99.8000,565,0,114,679
BHS,1985-1989,91.5858,96.2138,94.3773,94.0590,111.8000,115.6667,0.3796,0.2649,130.4000,0.4633,90.8000,0.4622,92.8000,611,0,79,690
BHS,1990-1994,96.2535,97.7040,96.2759,96.7445,64.6000,76.8667,0.6227,0.6212,50.6000,0.5453,61.4000,0.6204,47.0000,318,0,32,350
BHS,1995-1999,91.8857,96.2782,96.0700,94.7447,79.2000,74.6000,0.5526,0.4333,99.6000,0.4846,94.6000,0.6667,40.8000,306,0,34,340
BHS,2000-2004,96.6019,98.7819,97.5640,97.6493,31.4000,36.9333,0.6992,0.6845,25.6000,0.6166,56.6000,0.6987,25.8000,320,0,13,333
BHS,2005-2009,94.8788,96.4506,96.4575,95.9290,87.2000,76.7333,0.5893,0.5509,90.0000,0.4307,120.4000,0.6625,49.6000,363,2,23,388
BHS,2010-2014,94.7191,97.0717,97.3462,96.3790,68.0000,74.6667,0.6403,0.5421,88.4000,0.5169,101.4000,0.7101,34.0000,328,4,12,344
BHS,2015-2019,98.1645,98.9037,98.1741,98.4141,8.4000,19.7333,0.8017,0.8185,16.6000,0.7084,32.4000,0.7666,17.6000,424,3,9,436
BHS,2020-2024,98.1737,98.3492,97.7174,98.0801,8.2000,6.5333,0.8112,0.8632,7.2000,0.6889,41.8000,0.7765,15.8000,370,3,9,382
BHS,2025-2029,94.4000,99.6065,99.5132,97.8399,8.0000,9.0000,0.8211,0.7514,11.0000,0.7026,23.0000,0.7291,1.0000,6,0,0,6
BIH,1990-1994,,82.4186,96.7196,89.5691,129.0000,133.5000,0.3199,,,0.0731,166.6667,0.7088,33.0000,98,1,5,104
BIH,1995-1999,89.3964,92.6144,86.3804,89.0832,139.6667,126.0000,0.3131,0.3507,129.0000,0.3040,129.0000,0.3431,116.3333,126,9,32,167
BIH,2000-2004,87.0322,96.9758,80.8845,88.4607,163.0000,164.4667,0.2674,0.2214,160.0000,0.5042,94.2000,0.2185,125.6000,184,42,58,284
BIH,2005-2009,89.2997,98.8266,82.5960,90.2408,146.4000,145.9333,0.2944,0.2587,157.4000,0.6492,48.6000,0.2014,131.6000,239,52,65,356
