Country name,Year,Pillar 1 Score Normalized,Pillar 2 Score Normalized,Pillar 3 Score Normalized
HND,2012,83.77019999999999,90.45661187026361,90.2521632858608
HND,2013,85.226,92.6880362145701,93.63122910666068
HND,2014,87.29820000000001,91.99885864802594,92.89293807690183
HND,2015,90.9624,90.8052116324481,91.34480944455704
HND,2016,89.9322,90.07704125824917,90.46035460078241
HND,2017,89.41,89.66792140918382,90.10671596112942
HND,2018,90.36039999999998,88.34216594892146,88.47414394883859
HND,2019,92.26480000000001,90.52850485937711,90.82883480418349
HND,2020,92.37299999999999,92.2402281891598,92.95752446810906
HND,2021,92.69940000000001,92.19697054316778,92.91473982226971
HND,2022,90.25399999999999,94.24683462683173,93.69561078664383
HND,2023,85.51439999999998,97.07553942589183,96.81510277527008
HND,2024,86.3382,98.57341157619287,97.57765208508616
HND,2025,72.84200000000001,93.55755551651762,93.80595013644002
HRV,1992,,90.22346737449445,64.01043617820523
HRV,1993,,96.22896901594947,75.05481143025591
HRV,1994,,93.78349040462145,83.02606178594165
HRV,1995,65.3442,94.92281150328444,83.83026982986449
HRV,1996,72.1774,95.72185942889753,84.73908530930842
HRV,1997,73.43979999999999,94.77760391227838,81.53402402900349
HRV,1998,73.46780000000001,98.33518989192697,84.60039345497273
HRV,1999,80.25059999999999,96.25699509645136,82.92104492797235
HRV,2000,83.91999999999999,95.80004813174695,80.68907845148242
HRV,2001,86.6558,96.03156792719719,83.186145963197
HRV,2002,85.9264,97.28329797917745,81.72594080160822
HRV,2003,82.95660000000002,97.96425050035693,78.74319591068858
HRV,2004,82.435,97.9076906205035,81.81048653716635
HRV,2005,82.21940000000001,98.5966650995078,82.31458792654142
HRV,2006,81.8672,99.49004718738989,84.4444035021996
HRV,2007,79.4308,99.9863931348288,81.8323906381463
HRV,2008,84.32060000000001,99.31701660342182,80.013940834362
HRV,2009,83.53219999999999,99.1579990597047,76.9273049972057
HRV,2010,83.2022,95.37914920536923,77.17111606512273
HRV,2011,83.67760000000003,98.37925988807845,81.5272685586078
HRV,2012,81.3004,97.7378078934034,78.90409893284038
HRV,2013,79.54499999999999,98.32077067659628,76.81502089078042
HRV,2014,80.07239999999999,97.39316833824637,80.79757540026162
HRV,2015,76.83879999999999,97.19556416195421,73.06092410740787
HRV,2016,77.1602,98.65738827392855,79.2959162157902
HRV,2017,75.81979999999999,98.80310358378426,75.77652085086173
HRV,2018,77.85220000000001,97.54995191902493,80.61405178784547
HRV,2019,78.4522,99.95339140960014,74.66616717127984
HRV,2020,77.66640000000001,95.59523434778943,78.53039859322448
HRV,2021,80.45439999999999,96.81609509370968,75.85512996092062
HRV,2022,79.6978,96.23688943000435,79.16408218746226
HRV,2023,82.82260000000001,97.45764863215466,76.46158696235156
HRV,2024,80.3158,94.10406408630409,74.83290446331881
