Country name,Year,Pillar 1 Score,Pillar 2 Score,Pillar 3 Score,Total Index Average,Overall Rank,Overall Rank Rolling Avg (3y),Total Index Normalized,Pillar 1 Normalized,Pillar 1 Rank,Pillar 2 Normalized,Pillar 2 Rank,Pillar 3 Normalized,Pillar 3 Rank,Yes Votes,No Votes,Abstain Votes,Total Votes in Year
PAK,1984,85.40921266334907,97.99525555937996,96.53015369251277,93.31154063841393,57,56.666666666666664,93.31154063841393,85.40921266334907,59,97.99525555937996,38,96.53015369251277,74,136,3,6,145
PAK,1985,90.94925413748305,96.45564846977352,95.7909605497888,94.39862105234846,57,54.0,94.39862105234846,90.94925413748305,58,96.45564846977352,65,95.7909605497888,66,144,3,8,155
PAK,1986,94.10415850354127,98.18920297256588,98.07265563018086,96.78867236876268,27,47.0,96.78867236876268,94.10415850354127,52,98.18920297256588,20,98.07265563018086,22,149,1,4,154
PAK,1987,91.15627903673338,97.94268629102532,97.57059590997189,95.55652041257686,37,40.333333333333336,95.55652041257686,91.15627903673338,52,97.94268629102532,27,97.57059590997189,53,137,1,5,143
PAK,1988,91.11220700870791,99.46861343526339,96.88295804999869,95.82125949799,37,33.666666666666664,95.82125949799,91.11220700870791,52,99.46861343526339,6,96.88295804999869,74,131,1,7,139
PAK,1989,93.28563404094658,98.6257039245329,97.69987410351395,96.53707068966447,29,34.333333333333336,96.53707068966447,93.28563404094658,30,98.6257039245329,29,97.69987410351395,69,112,1,4,117
PAK,1990,92.53135234280728,98.19765151649437,97.9646135062163,96.23120578850599,56,40.666666666666664,96.23120578850599,92.53135234280728,43,98.19765151649437,65,97.9646135062163,77,83,0,3,86
PAK,1991,86.93418233591116,98.98436597318813,98.4167354981269,94.77842793574206,75,53.333333333333336,94.77842793574206,86.93418233591116,80,98.98436597318813,33,98.4167354981269,61,72,1,1,74
PAK,1992,83.3566418090934,98.61020008290807,95.92760548648818,92.63148245949655,76,69.0,92.63148245949655,83.3566418090934,84,98.61020008290807,39,95.92760548648818,76,70,1,4,75
PAK,1993,81.23446357684448,96.98455506987698,93.47609970400296,90.56503945024149,60,70.33333333333333,90.56503945024149,81.23446357684448,60,96.98455506987698,38,93.47609970400296,62,61,2,2,65
PAK,1994,82.22994099403134,99.82515427470548,94.69481641299946,92.24997056057875,14,50.0,92.24997056057875,82.22994099403134,14,99.82515427470548,9,94.69481641299946,31,64,2,2,68
PAK,1995,71.1159217575002,94.48571703893886,88.88807329435222,84.82990403026376,77,50.333333333333336,84.82990403026376,71.1159217575002,62,94.48571703893886,95,88.88807329435222,99,69,2,9,80
PAK,1996,76.67307365224951,95.1472057853353,89.86610106124611,87.22879349961032,74,55.0,87.22879349961032,76.67307365224951,66,95.1472057853353,80,89.86610106124611,87,68,2,6,76
PAK,1997,72.43946317109493,93.87884366866965,91.30002206406532,85.87277630127663,93,81.33333333333333,85.87277630127663,72.43946317109493,86,93.87884366866965,107,91.30002206406532,87,64,3,6,73
PAK,1998,68.21784857592803,90.58681475398258,89.05350270140211,82.61938867710425,111,92.66666666666667,82.61938867710425,68.21784857592803,100,90.58681475398258,146,89.05350270140211,111,53,3,7,63
PAK,1999,68.95100985028064,93.39528222965666,90.88319034303203,84.40982747432311,103,102.33333333333333,84.40982747432311,68.95100985028064,127,93.39528222965666,119,90.88319034303203,97,61,3,6,70
