Year,Country,TopicTag,YesVotes_Topic,NoVotes_Topic,AbstainVotes_Topic,TotalVotes_Topic
1946,CRI,POLITICAL AND LEGAL QUESTIONS,15,2,1,18
1946,CRI,POLITICAL EVENTS AND ISSUES,1,0,0,1
1946,CRI,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,1,0,3,4
1946,CRI,SOCIAL CONDITIONS AND EQUITY,0,1,3,4
1946,CRI,SOCIAL DEVELOPMENT,0,0,3,3
1946,CUB,DISCRIMINATION,2,0,0,2
1946,CUB,GENERAL AND NATIONAL LAW,2,0,0,2
1946,CUB,HUMAN RIGHTS,4,0,0,4
1946,CUB,HUMANITARIAN AID AND RELIEF,3,0,0,3
1946,CUB,INTERNATIONAL LAW,1,0,0,1
1946,CUB,INTERNATIONAL RELATIONS,6,0,1,7
1946,CUB,POLITICAL AND LEGAL QUESTIONS,21,0,1,22
1946,CUB,POLITICAL EVENTS AND ISSUES,1,0,0,1
1946,CUB,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,3,0,0,3
1946,CUB,SOCIAL CONDITIONS AND EQUITY,4,1,0,5
1946,CUB,SOCIAL DEVELOPMENT,2,1,0,3
1946,CZE,DISCRIMINATION,2,0,0,2
1946,CZE,GENERAL AND NATIONAL LAW,1,1,0,2
1946,CZE,HUMAN RIGHTS,2,0,2,4
1946,CZE,HUMANITARIAN AID AND RELIEF,1,0,3,4
1946,CZE,INTERNATIONAL LAW,0,0,1,1
1946,CZE,INTERNATIONAL RELATIONS,3,3,1,7
1946,CZE,POLITICAL AND LEGAL QUESTIONS,8,4,10,22
1946,CZE,POLITICAL EVENTS AND ISSUES,0,1,0,1
1946,CZE,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,1,0,3,4
1946,CZE,SOCIAL CONDITIONS AND EQUITY,3,0,2,5
1946,CZE,SOCIAL DEVELOPMENT,1,0,2,3
1946,DNK,DISCRIMINATION,1,0,1,2
1946,DNK,GENERAL AND NATIONAL LAW,0,1,1,2
1946,DNK,HUMAN RIGHTS,3,0,1,4
1946,DNK,HUMANITARIAN AID AND RELIEF,4,0,0,4
1946,DNK,INTERNATIONAL LAW,1,0,0,1
1946,DNK,INTERNATIONAL RELATIONS,6,0,1,7
1946,DNK,POLITICAL AND LEGAL QUESTIONS,18,1,3,22
1946,DNK,POLITICAL EVENTS AND ISSUES,1,0,0,1
1946,DNK,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,4,0,0,4
1946,DNK,SOCIAL CONDITIONS AND EQUITY,4,0,1,5
1946,DNK,SOCIAL DEVELOPMENT,3,0,0,3
1946,DOM,DISCRIMINATION,2,0,0,2
1946,DOM,GENERAL AND NATIONAL LAW,2,0,0,2
1946,DOM,HUMAN RIGHTS,4,0,0,4
1946,DOM,HUMANITARIAN AID AND RELIEF,4,0,0,4
1946,DOM,INTERNATIONAL LAW,1,0,0,1
1946,DOM,INTERNATIONAL RELATIONS,6,1,0,7
1946,DOM,POLITICAL AND LEGAL QUESTIONS,19,1,1,21
1946,DOM,POLITICAL EVENTS AND ISSUES,1,0,0,1
1946,DOM,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,4,0,0,4
1946,DOM,SOCIAL CONDITIONS AND EQUITY,5,0,0,5
1946,DOM,SOCIAL DEVELOPMENT,3,0,0,3
1946,ECU,DISCRIMINATION,1,0,1,2
1946,ECU,GENERAL AND NATIONAL LAW,2,0,0,2
1946,ECU,HUMAN RIGHTS,3,0,1,4
1946,ECU,HUMANITARIAN AID AND RELIEF,4,0,0,4
1946,ECU,INTERNATIONAL LAW,1,0,0,1
1946,ECU,INTERNATIONAL RELATIONS,6,1,0,7
1946,ECU,POLITICAL AND LEGAL QUESTIONS,10,1,10,21
1946,ECU,POLITICAL EVENTS AND ISSUES,1,0,0,1
1946,ECU,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,4,0,0,4
1946,ECU,SOCIAL CONDITIONS AND EQUITY,3,1,1,5
1946,ECU,SOCIAL DEVELOPMENT,2,1,0,3
1946,EGY,DISCRIMINATION,2,0,0,2
1946,EGY,GENERAL AND NATIONAL LAW,2,0,0,2
1946,EGY,HUMAN RIGHTS,2,0,2,4
1946,EGY,HUMANITARIAN AID AND RELIEF,0,0,3,3
1946,EGY,INTERNATIONAL LAW,0,0,1,1
1946,EGY,INTERNATIONAL RELATIONS,2,2,3,7
1946,EGY,POLITICAL AND LEGAL QUESTIONS,17,2,3,22
1946,EGY,POLITICAL EVENTS AND ISSUES,0,1,0,1
1946,EGY,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,0,0,3,3
1946,EGY,SOCIAL CONDITIONS AND EQUITY,2,1,2,5
1946,EGY,SOCIAL DEVELOPMENT,0,1,2,3
1946,ETH,DISCRIMINATION,2,0,0,2
1946,ETH,HUMAN RIGHTS,2,0,2,4
1946,ETH,HUMANITARIAN AID AND RELIEF,1,0,3,4
1946,ETH,INTERNATIONAL LAW,0,0,1,1
1946,ETH,INTERNATIONAL RELATIONS,5,0,2,7
1946,ETH,POLITICAL AND LEGAL QUESTIONS,17,0,3,20
1946,ETH,POLITICAL EVENTS AND ISSUES,1,0,0,1
1946,ETH,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,1,0,3,4
1946,ETH,SOCIAL CONDITIONS AND EQUITY,2,0,3,5
1946,ETH,SOCIAL DEVELOPMENT,0,0,3,3
1946,FRA,DISCRIMINATION,2,0,0,2
1946,FRA,GENERAL AND NATIONAL LAW,1,1,0,2
1946,FRA,HUMAN RIGHTS,4,0,0,4
1946,FRA,HUMANITARIAN AID AND RELIEF,4,0,0,4
1946,FRA,INTERNATIONAL LAW,1,0,0,1
1946,FRA,INTERNATIONAL RELATIONS,4,1,2,7
1946,FRA,POLITICAL AND LEGAL QUESTIONS,16,2,4,22
1946,FRA,POLITICAL EVENTS AND ISSUES,0,1,0,1
1946,FRA,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,4,0,0,4
1946,FRA,SOCIAL CONDITIONS AND EQUITY,5,0,0,5
1946,FRA,SOCIAL DEVELOPMENT,3,0,0,3
1946,GBR,DISCRIMINATION,1,1,0,2
1946,GBR,GENERAL AND NATIONAL LAW,2,0,0,2
1946,GBR,HUMAN RIGHTS,3,1,0,4
1946,GBR,HUMANITARIAN AID AND RELIEF,4,0,0,4
1946,GBR,INTERNATIONAL LAW,1,0,0,1
1946,GBR,INTERNATIONAL RELATIONS,7,0,0,7
1946,GBR,POLITICAL AND LEGAL QUESTIONS,20,1,1,22
1946,GBR,POLITICAL EVENTS AND ISSUES,1,0,0,1
1946,GBR,PROTECTION OF AND ASSISTANCE TO REFUGEES AND DISPLACED PERSONS,4,0,0,4
1946,GBR,SOCIAL CONDITIONS AND EQUITY,3,2,0,5
1946,GBR,SOCIAL DEVELOPMENT,2,1,0,3
1946,GRC,DISCRIMINATION,1,1,0,2
1946,GRC,GENERAL AND NATIONAL LAW,1,0,0,1
